Term (EN),Equivalent (JA),Definition (EN),Context/Example (EN),Section,File,Source
Systems Modeling Language (SysML),システムモデリング言語 (SysML),"The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.",The Systems Modeling Language (SysML) is a general-purpose modeling language for modeling systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,6.1,SysML2,6
Systems Modeling Language (SysML),システムモデリング言語 (SysML),"The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.","The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.",2,SysML2,2
Systems Modeling Language (SysML),システムモデリング言語 (SysML),"The purpose of this standard is to specify the Systems Modeling Language™ (SysML), to guide the implementation of conformant modeling tools, and to provide the basis for the development of material and other resources to train users in the application of SysML.",SysML is a general-purpose modeling language for modeling systems that is intended to facilitate a model-based systems engineering (MBSE) approach to engineer systems.,1,SysML2,1
TabularRendering,表形式レンダリング,A TabularRendering is a Rendering of a View into a tabular format.,A TabularRendering is a Rendering of a View into a tabular format.,9.2.19.2.8,SysML2,9.2
target,ターゲット,target : Anything {redefines target},target : Anything {redefines target},9.2.6.2.1,SysML2,9.2
target (Allocation),ターゲット (割り当て),target : Anything {redefines target},target : Anything {redefines target},9.2.8.2.1,SysML2,9.2
target (AssignmentAction),ターゲット (割り当てアクション),The target Occurrence whose accessedFeature is being assigned.,target : Occurrence {redefines onOccurrence},9.2.10.2.6,SysML2,9.2
target (assignmentActions),ターゲット (割り当てアクション群),The default target for assignmentActions is the featuring instance (if that is an Occurrence,target : Occurrence {redefines target},9.2.10.2.7,SysML2,9.2
target (Flow),ターゲット (フロー),"target : Occurrence {redefines target, target}","target : Occurrence {redefines target, target}",9.2.9.2.1,SysML2,9.2
target (Interface),ターゲット (インターフェース),target : Port {redefines target},target : Port {redefines target},9.2.7.2.1,SysML2,9.2
target (Message),ターゲット (メッセージ),target : Occurrence {redefines target},target : Occurrence {redefines target},9.2.9.2.3,SysML2,9.2
target (SuccessionFlow),ターゲット (連続フロー),"target : Occurrence {redefines target, target}","target : Occurrence {redefines target, target}",9.2.9.2.6,SysML2,9.2
target element (of allocation),ターゲット要素 (割り当ての),An allocation definition is a connection definition (see 7.13 ) that specifies that a target element is responsible for realizing some or all of the intent of the source element.,An allocation definition is a connection definition (see 7.13 ) that specifies that a target element is responsible for realizing some or all of the intent of the source element.,7.15.1,SysML2,7.15
target end,ターゲット端,"The two related features of a succession are identified after its declaration part and before its body, following the keyword succession and separated by the keyword then. If the declaration part is empty, then the keyword succession may be omitted. The related features of a succession must be occurrence usages. As for regular connection usages, constraining multiplicities can also be defined on the end features of a succession.",first [0..1] focus then [0..1] focus;,7.13.5,SysML2,7.13
Target Input Feature (of Flow Usage),ターゲット入力フィーチャ (フロー使用の),"A flow declaration then includes a specification of not only the source and target related features of the flow, but, more specifically, the output feature of the source from which the payload is obtained and the input feature of the target to which the payload is to be delivered.","A flow declaration then includes a specification of not only the source and target related features of the flow, but, more specifically, the output feature of the source from which the payload is obtained and the input feature of the target to which the payload is to be delivered.",7.16.2,SysML2,7.16
targetEvent,ターゲットイベント,An occurrence happening during the target of this message that is either the end of the message or happens after it.,targetEvent : Occurrence,9.2.9.2.3,SysML2,9.2
TargetInputFeature (KerML),ターゲット入力フィーチャ (KerML),The targetInputFeature of a Flow is the first ownedFeature of the second connectorEnd of the Flow.,The targetInputFeature of a Flow is the first ownedFeature of the second connectorEnd of the Flow.,8.3.4.9.2,KerML1,7.16
targets,ターゲット,(Implicit from context) The ending elements of a directed relationship.,A relationship may designate certain of its related elements as sources with the rest being targets.,7.2.3,SysML2,7.2-7.3
tbc,確認待ち,Status is to be confirmed.,tbc,9.3.2.2.5,SysML2,9.3
tbd,未定,Status is to be determined.,tbd,9.3.2.2.5,SysML2,9.3
tbr,解決待ち,Status is to be resolved.,tbr,9.3.2.2.5,SysML2,9.3
tebi,テビ,"ISO/IEC 80000-1 prefixes for binary multiples, i.e. multiples of 1024 (= 210).",tebi Ti 10244,9.8.5.1,SysML2,9.8
tebi,テビ,"(No explicit description, but implied as a binary UnitPrefix for 1024^4)","Name: tebi, Symbol: Ti, Value: 1024^4",9.8.5.2,SysML2,9.4
technicalRisk,技術リスク,The risk of unresolved technical issues regarding the annotatedElement.,technicalRisk : RiskLevel [0..1],9.3.3.2.3,SysML2,9.3
Tensor Calculations,テンソル計算,"This library package specifies the mathematical operators and functions to support tensor quantity arithmetic, and some convenience functions.","This library package specifies the mathematical operators and functions to support tensor quantity arithmetic, and some convenience functions.",9.8.11.1,SysML2,9.8
TensorMeasurementReference,テンソル測定参照,"A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.","A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.",9.8.3.2.29,SysML2,9.8
TensorMeasurementReference,テンソル測定参照,"A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.","A TensorMeasurementReference is an abstract AttributeDefinition and a specialization of Collections::Array, that represents the [VIM] concept measurement reference, but generalized for tensor, vector and scalar quantities.",9.8.3.2.29,SysML2,9.4
tensorQuantities,テンソル量,AttributeUsage tensorQuantities : TensorQuantityValue[*] nonunique defines a top-level general self-standing attribute that can be used to consistently specify quantities of Occurrences.,AttributeUsage tensorQuantities : TensorQuantityValue[*] nonunique defines a top-level general self-standing attribute that can be used to consistently specify quantities of Occurrences.,9.8.2.2.7,SysML2,9.4
TensorQuantityValue,テンソル量値,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,9.8.2.2.8,SysML2,9.8
TensorQuantityValue,テンソル量値,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,A TensorQuantityValue is an abstract AttributeDefinition and a specialization of Collections::Array that represents a tensor quantity value as a sequence of Numbers and a TensorMeasurementReference.,9.8.2.2.8,SysML2,9.4
TensorQuantityValue Construction,テンソル量値構築,"Construction of a literal or variable TensorQuantityValue is done through the [ operator, matched by a closing ]. The signature of the corresponding CalculationDefinition is: calc def '[' specializes BaseFunctions::'[' { in num : Number[1..n] ordered; // a sequence of numbers that are the numerical values of the in mRef : TensorMeasurementReference[1]; return quantity : TensorQuantityValue[1]; private attribute n = mRef.flattenedSize; }","Construction of a literal or variable TensorQuantityValue is done through the [ operator, matched by a closing ].",9.8.11.1,SysML2,9.8
tera,テラ,ISO/IEC 80000-1 unit prefixes for decimal multiples and sub-multiples.,tera T 1012,9.8.5.1,SysML2,9.8
tera,テラ,"(No explicit description, but implied as a UnitPrefix for 10^12)","Name: tera, Symbol: T, Value: 10^12",9.8.5.2,SysML2,9.4
Terminate Action Usage,終了アクション使用,A terminate action usage is used to terminate the performance of some other action. The terminated action ends its performance by the completion of the terminate action usage.,action terminate1 terminate process;,7.17.10,SysML2,7.17
Terminate Action Usage (semantics),終了アクション使用 (意味論),"A TerminateActionUsage is an ActionUsage that directly or indirectly specializes the ActionDefinition TerminateAction from the Systems Model Library, which causes a given terminatedOccurrence to end during its performance.","The checkTerminateActionUsageSpecialization requires that a TerminateActionUsage specialize the ActionUsage Actions::terminateActions (see 9.2.10.2.25 ), which is defined by the ActionDefinition Actions::TerminateAction (see 9.2.10.2.24 ) and subsets Actions::Action::actions (see 9.2.10.2.5 ).",8.4.13.8,SysML2,8.4
TerminateAction,終了アクション,"A TerminateAction is an Action that terminates a given Occurrence, meaning that the Occurrence ends during the performance of this Action.",TerminateAction is the base type for all TerminateActionUsages.,9.2.10.2.24,SysML2,9.2
terminateActions,終了アクション群,terminateActions is the base feature for all TerminateActionUsages.,terminateActions is the base feature for all TerminateActionUsages.,9.2.10.2.25,SysML2,9.2
terminatedOccurrence,終了オカレンス,The Occurrence to be terminated.,terminatedOccurrence : Occurrence,9.2.10.2.24,SysML2,9.2
terminateSubactions,終了サブアクション,The subactions of this Action that are TerminateActions.,"terminateSubactions : TerminateAction [0..*] {subsets subactions, terminateActions}",9.2.10.2.4,SysML2,9.2
test,テスト,test,test,9.2.17.2.7,SysML2,9.2
Tetrahedron,四面体,A Tetrahedron is Pyramid with a triangular base.,A Tetrahedron is Pyramid with a triangular base.,9.7.3.2.39,SysML2,9.4
Tetrahedron,四面体,A Tetrahedron is Pyramid with a triangular base.,A Tetrahedron is Pyramid with a triangular base.,9.7.3.2.39,SysML2,9.7
textual notation,テキスト表記,The SysML concrete syntax includes a textual notation (see 8.2.2 ).,The SysML concrete syntax includes a textual notation (see 8.2.2 ).,8.1,SysML2,8.1
Textual notation,テキスト表記,A concrete syntax representation of the SysML v2 abstract syntax using text.,"This document specifies the textual and graphical concrete syntax, abstract syntax, and semantics for SysML v2. The SysML v2 textual notation (see 8.2.2) and the SysML v2 graphical notation (see 8.2.3) provide the concrete syntax representation of the SysML v2 abstract syntax (see 8.3).",6.1,SysML2,6
Textual Notation,テキスト表記,The grammar definition for the SysML textual concrete syntax defines how lexical tokens for an input text are grouped in order to construct an abstract syntax representation of a model (see 8.3 ).,The SysML v2 textual notation (see 8.2.2 ) and the SysML v2 graphical notation (see 8.2.3 ) provide the concrete syntax representation of the SysML v2 abstract syntax (see 8.3 ).,8.2.2.1.1,SysML2,8.2
Textual Notation Conformance,テキスト表記適合性,A tool demonstrating Textual Notation Conformance provides Concrete Syntax Conformance for the SysML textual notation.,There are two variants of Concrete Syntax Conformance: a. Textual Notation Conformance. A tool demonstrating Textual Notation Conformance provides Concrete Syntax Conformance for the SysML textual notation. (See 8.2.2 ),2,SysML2,2
textual representation,テキスト表現,A textual representation is an annotating element whose textual body provides a representation of the annotated element in a specifically named language.,A textual representation is an annotating element whose textual body provides a representation of the annotated element in a specifically named language.,7.4.1,SysML2,7.4
TextualRendering,テキストレンダリング,A TextualRendering is a Rendering of a View into a textual format.,A TextualRendering is a Rendering of a View into a textual format.,9.2.19.2.9,SysML2,9.2
TextualRepresentation,テキスト表現,A textual representation is an annotating element whose textual body provides a representation of the annotated element in a specifically named language.,`TextualRepresentation = ( 'rep' Identification )? 'language' language = STRING_VALUE body = REGULAR_COMMENT`,8.2.2.4.3,SysML2,8.2
TextualRepresentation,テキスト表現,A TextualRepresentation is an AnnotatingElement whose body represents the representedElement in a given language. The representedElement must be the owner of the TextualRepresentation.,A TextualRepresentation is an AnnotatingElement whose body represents the representedElement in a given language.,8.3.4.6,SysML2,8.3
theCause,原因 (単一),The single causing occurrence. Redefines CausationConnections::causes in the context of Causation.,"theCause : Occurrence [1..*] {subsets causes, redefines source}",9.5.2.1,SysML2,9.5
theCauses,原因群,Owned cross feature for theCause.,theCauses : Occurrence [0..*],9.5.2.1,SysML2,9.5
theEffect,結果 (単一),The single effect occurrence resulting from the cause. Redefines CausationConnections::effects in the context of Causation.,"theEffect : Occurrence {subsets effects, redefines target}",9.5.2.1,SysML2,9.5
theEffects,結果群,Owned cross feature for theEffect.,theEffects : Occurrence [0..*],9.5.2.1,SysML2,9.5
thenClause,Then節,An optional Performance that occurs if and only if the result of the ifTest is true.,thenClause : Performance [0..1] {redefines thenClause},9.2.10.2.14,SysML2,9.2
thermodynamicTemperature,熱力学温度,"(No explicit description, but implied as a ThermodynamicTemperatureValue for thermodynamic temperature)","General Types: ThermodynamicTemperatureValue, scalarQuantities. Features: None.",9.8.4.2.24,SysML2,9.4
thermodynamicTemperature,熱力学温度,thermodynamicTemperature is a ThermodynamicTemperatureValue attribute usage.,thermodynamicTemperature is a ThermodynamicTemperatureValue attribute usage.,9.8.4.2.24,SysML2,9.8
ThermodynamicTemperatureUnit,熱力学温度単位,"(No explicit description, but implied as a SimpleUnit for thermodynamic temperature)",General Types: SimpleUnit. Features: None.,9.8.4.2.25,SysML2,9.4
ThermodynamicTemperatureUnit,熱力学温度単位,ThermodynamicTemperatureUnit is a SimpleUnit attribute definition.,ThermodynamicTemperatureUnit is a SimpleUnit attribute definition.,9.8.4.2.25,SysML2,9.8
ThermodynamicTemperatureValue,熱力学温度値,ThermodynamicTemperatureValue is a ScalarQuantityValue attribute definition.,ThermodynamicTemperatureValue is a ScalarQuantityValue attribute definition.,9.8.4.2.26,SysML2,9.8
ThermodynamicTemperatureValue,熱力学温度値,"(No explicit description, but implied as a ScalarQuantityValue for thermodynamic temperature)",General Types: ScalarQuantityValue. Features: mRef : ThermodynamicTemperatureUnit {redefines mRef}.,9.8.4.2.26,SysML2,9.4
Through variables,スルー変数,"Features of the ports on its ends that are constrained by conservation laws across the interface (e.g., Kirchhoff’s Laws).","When specifying an interface between electrical components, the across and through variables are port features defined as Voltage and Current quantities, respectively.",7.14.1,SysML2,7.14
Time (Domain Library),時間ドメインライブラリ,"This package specifies concepts to support time-related quantities and metrology, beyond the quantities duration and time as defined in [ISO 80000-3].","This package specifies concepts to support time-related quantities and metrology, beyond the quantities duration and time as defined in [ISO 80000-3].",9.8.8,SysML2,9.4
Time Slices,タイムスライス / 時間区分,"The lifetime of an occurrence can be partitioned into time slices which correspond to some duration of time. These time slices represent periods or phases of a lifetime, such as the deployment or operational phase.",The lifetime of an occurrence can be partitioned into time slices which correspond to some duration of time.,7.9.3,SysML2,7.9
timeInstant,時間インスタント,Representation of a time instant quantity. Also known as instant (of time) or point in time.,Representation of a time instant quantity. Also known as instant (of time) or point in time.,9.8.8.2.8,SysML2,9.8
timeInstant,時点,"(No explicit description, but implied as a TimeInstantValue for time instant)","General Types: TimeInstantValue, scalarQuantities. Features: None.",9.8.8.2.8,SysML2,9.4
TimeInstantValue,時間インスタント値,Representation of a time instant quantity. Also known as instant (of time) or point in time.,Representation of a time instant quantity. Also known as instant (of time) or point in time.,9.8.8.2.9,SysML2,9.8
TimeInstantValue,時点値,Representation of a time instant quantity. Also known as instant (of time) or point in time.,Representation of a time instant quantity. Also known as instant (of time) or point in time.,9.8.8.2.9,SysML2,9.4
TimeOf,時刻の,"TimeOf returns a TimeInstantValue for a given Occurrence relative to a given Clock. This TimeInstantValue is the time of the start of the Occurrence, which is considered to be synchronized with the snapshot of the Clock with a currentTime equal to the returned timeInstant",TimeOf returns a TimeInstantValue for a given Occurrence relative to a given Clock.,9.8.8.2.10,SysML2,9.4
TimeOf,時間の,"TimeOf returns a scalar timeValue for a given Occurrence relative to a given Clock. The timeValue is the time of the start of the Occurrence, which is considered to be synchronized with the snapshot of the Clock with a currentTimetimeValue",TimeOf returns a scalar timeValue for a given Occurrence relative to a given Clock.,9.8.8.2.10,SysML2,9.8
TimeOfDay,時刻,Generic representation of a time instant as a time of day.,Generic representation of a time instant as a time of day.,9.8.8.2.11,SysML2,9.4
TimeOfDay,時刻,Generic representation of a time instant as a time of day.,Generic representation of a time instant as a time of day.,9.8.8.2.11,SysML2,9.8
TimeScale,時間尺度,"Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value.","Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value.",9.8.8.2.12,SysML2,9.8
TimeScale,時間尺度,"Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value. Attribute definitionalEpoch captures the specification of the time instant with value zero, also known as the (reference) epoch.","Generic time scale to express a time instant, including a textual definition of the meaning of zero time instant value.",9.8.8.2.12,SysML2,9.4
timeslice (keyword),タイムスライス (キーワード),"An occurrence usage (of any kind) can be declared as a time slice or a snapshot using the keyword timeslice or snapshot, respectively, placed immediately before the kind keyword of the declaration (after any of the other usage property keywords described in 7.6.3).",timeslice preflight;,7.9.3,SysML2,7.9
to (keyword),toキーワード,A keyword used in a dependency declaration to introduce the supplier elements.,...followed by a similar list of the supplier elements after the keyword to. dependency Use from 'Application Layer' to 'Service Layer';,7.3.2,SysML2,7.2-7.3
ToolExecution,ツール実行,ToolExecution metadata identifies an external analysis tool to be used to implement the annotated action.,ToolExecution metadata identifies an external analysis tool to be used to implement the annotated action.,9.4.2.2.1,SysML2,9.4
ToolVariable,ツール変数,ToolVariable metadata is used in the context of an action that has been annotated with ToolExecution metadata. It is used to annotate a parameter or other feature of the action with the name of the variable in the tool that is to correspond to the annotated feature.,ToolVariable metadata is used in the context of an action that has been annotated with ToolExecution metadata.,9.4.2.2.2,SysML2,9.4
top-level elements,トップレベル要素,The owned members of a root namespace.,The owned members of a root namespace are known as top-level elements.,7.5.5,SysML2,7.5
Toriod,トーラス体,A Toroid is a surface generated from revolving a planar closed curve about an line coplanar with the curve. It is single sided with one hole.,A Toroid is a surface generated from revolving a planar closed curve about an line coplanar with the curve.,9.7.3.2.40,SysML2,9.4
Toriod,トーラス体,A Toroid is a surface generated from revolving a planar closed curve about an line coplanar with the curve. It is single sided with one hole.,A Toroid is a surface generated from revolving a planar closed curve about an line coplanar with the curve.,9.7.3.2.40,SysML2,9.7
Torus,トーラス,A Torus is a revolution of a Circle.,A Torus is a revolution of a Circle.,9.7.3.2.41,SysML2,9.4
Torus,トーラス,A Torus is a revolution of a Circle.,A Torus is a revolution of a Circle.,9.7.3.2.41,SysML2,9.7
totalRisk,総リスク,The total risk associated with the annotatedElement.,totalRisk : RiskLevel [0..1],9.3.3.2.3,SysML2,9.3
touchedItem,接触アイテム,The participant in this InnerSpaceOf Link that completely occupies the space surrounded by an inner space boundary of the other.,"touchedItem : Item {redefines separateSpace, thatOccurrence}",9.2.3.2.3,SysML2,9.2
touchedItemToo,接触アイテム（相手側）,The participant in this InnerSpaceOf Link with an inner space boundary is completely occupied by the other.,"touchedItemToo : Item {redefines thisOccurrence, separateSpaceToo}",9.2.3.2.3,SysML2,9.2
Touches,接触,Touching Occurrences are JustOutsideOf each other and happen at the same time (HappensWhile).,Touching Occurrences are JustOutsideOf each other and happen at the same time (HappensWhile).,9.2.3.2.3,SysML2,9.2
touches,接触関係,Owned cross feature for touchedItemToo.,"touches : Item [0..*] {subsets justOutsideOfOccurrences, happensWhile}",9.2.3.2.3,SysML2,9.2
TradeStudy,トレードオフ分析,A TradeStudy is an analysis case whose subject is a set of alternatives (at least one) and whose result is a selection of one of those alternatives. The alternatives are evaluated based on a given ObjectiveFunction and the selection is made such that it satisfies the objective of the TradeStudy (which must be a TradeStudyObjective).,A trade-off analysis is a special kind of analysis used to evaluate and compare alternatives. Such an analysis can be modeled by a usage of the TradeStudy analysis case definition from the TradeStudies library model found in the Analysis Domain Library (see 9.4.5 ).,9.4.5.2.4,SysML2,9.4
TradeStudyObjective,トレードオフ分析目標,"A TradeStudyObjective is the base definition for the objective of a TradeStudy. The requirement is to choose from a given set of alternatives the selectedAlternative for that has the best evaluation according to a given EvaluationFunction. What value is considered ""best"" is not defined in the abstract base definition but must be computed in any concrete specialization.",A TradeStudyObjective is the base definition for the objective of a TradeStudy.,9.4.5.2.5,SysML2,9.4
Transfer (KerML),転送 (KerML),A Transfer is a Performance and BinaryLink that carries a Payload from its source to its target.,A Transfer is a Performance and BinaryLink that carries a Payload from its source to its target.,9.2.7.2.9,KerML1,7.16
Transition,遷移,"State usages can be connected by transition usages, which can activate and deactivate the state usages.","State usages can be connected by transition usages, which can activate and deactivate the state usages.",7.18,SysML2,7.18
transition (keyword),遷移 (キーワード),A transition usage is identified with the keyword transition.,A transition usage is identified with the keyword transition.,7.18.3,SysML2,7.18
Transition Usage (semantics),遷移使用 (意味論),A TransitionUsage is a kind of ActionUsage.,"The checkTransitionUsageSpecialization requires that a TransitionUsage specialize the ActionUsage Actions::transitionActions (see 9.2.10.2.27 ), which is defined by the ActionDefinition Actions::TransitionAction (see 9.2.10.2.26 ) and subsets the ActionUsage Actions::actions (see 9.2.10.2.5 ).",8.4.14.3,SysML2,8.4
TransitionAction,遷移アクション,A TransitionAction is a TransitionPerformance with an Action as transitionLinkSource.,It is the base type of all TransitionUsages.,9.2.10.2.26,SysML2,9.2
transitionActions,遷移アクション群,transitionActions is the base feature for all TransitionUsages.,transitionActions is the base feature for all TransitionUsages.,9.2.10.2.27,SysML2,9.2
transitionLinkSource,遷移リンクソース,transitionLinkSource : Action {redefines transitionLinkSource},transitionLinkSource : Action {redefines transitionLinkSource},9.2.10.2.26,SysML2,9.2
transitionLinkSource (StateTransitionAction),遷移リンクソース (状態遷移アクション),"transitionLinkSource : StateAction {redefines transitionLinkSource, transitionLinkSource}","transitionLinkSource : StateAction {redefines transitionLinkSource, transitionLinkSource}",9.2.11.2.3,SysML2,9.2
transitions,遷移,The subactions of this Action that are TransitionActions.,transitions : TransitionAction [0..*] {subsets subactions},9.2.10.2.4,SysML2,9.2
Translation,並進,Representation of a translation with respect to a coordinate frame.,Representation of a translation with respect to a coordinate frame.,9.8.3.2.30,SysML2,9.4
Translation,並進,Representation of a translation with respect to a coordinate frame.,Representation of a translation with respect to a coordinate frame.,9.8.3.2.30,SysML2,9.8
TranslationOrRotation,並進または回転,TranslationOrRotation is an abstract union of Translation and Rotation,TranslationOrRotation is an abstract union of Translation and Rotation,9.8.3.2.31,SysML2,9.8
TranslationOrRotation,並進または回転,TranslationOrRotation is an abstract union of Translation and Rotation,TranslationOrRotation is an abstract union of Translation and Rotation,9.8.3.2.31,SysML2,9.4
TranslationRotationSequence,並進回転シーケンス,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,9.8.3.2.32,SysML2,9.4
TranslationRotationSequence,並進回転シーケンス,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,A TranslationRotationSequence is a coordinate frame transformation specified by a sequence of translations and/or rotations.,9.8.3.2.32,SysML2,9.8
Triangle,三角形,"A Triangle is three-sided Polygon with given length (base), width (perpindicular distance from base to apex), and offset of this perpindicular at the base from the center of the base.","A Triangle is three-sided Polygon with given length (base), width (perpindicular distance from base to apex), and offset of this perpindicular at the base from the center of the base.",9.7.3.2.42,SysML2,9.4
Triangle,三角形,"A Triangle is three-sided Polygon with given length (base), width (perpindicular distance from base to apex), and offset of this perpindicular at the base from the center of the base.","A Triangle is three-sided Polygon with given length (base), width (perpindicular distance from base to apex), and offset of this perpindicular at the base from the center of the base.",9.7.3.2.42,SysML2,9.7
TriangularPrism,三角柱,"A TriangularPrism is a Polyhedron with five sides, two triangular and the others quadrilateral.","A TriangularPrism is a Polyhedron with five sides, two triangular and the others quadrilateral.",9.7.3.2.43,SysML2,9.4
TriangularPrism,三角柱,"A TriangularPrism is a Polyhedron with five sides, two triangular and the others quadrilateral.","A TriangularPrism is a Polyhedron with five sides, two triangular and the others quadrilateral.",9.7.3.2.43,SysML2,9.7
type,タイプ,The MIME type according to which the content should be interpreted.,type : String [0..1],9.3.5.2.2,SysML2,9.3
Type-featuring constraints,型フィーチャリング制約,These constraints require that certain Usages in a model have TypeFeaturing relationships with certain other Definitions or Usages in the model.,"The SysML specification includes only one constraint in this category, checkVariationUsageTypeFeaturing, which applies to a variant Usage in a variation model.",8.4.1,SysML2,8.4
undirected relationship,無向関係,"An undirected relationship simply designates all its related elements to be targets, with no source elements.","An undirected relationship simply designates all its related elements to be targets, with no source elements.",7.2.3,SysML2,7.2-7.3
unit (of quantity),(量の) 単位,"Fundamental to this approach is the principle that only the kind of unit (e.g., MassUnit, LengthUnit, TimeUnit, etc.) is associated with an attribute definition, while a specific unit (e.g., kg, m, s, etc.) is only given with an actual quantity value.","Fundamental to this approach is the principle that only the kind of unit (e.g., MassUnit, LengthUnit, TimeUnit, etc.) is associated with an attribute definition, while a specific unit (e.g., kg, m, s, etc.) is only given with an actual quantity value.",7.7.1,SysML2,7.7
UnitConversion,単位変換,"UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.","UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.",9.8.3.2.33,SysML2,9.4
UnitConversion,単位変換,"UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.","UnitConversion is an AttributeDefinition that represents a linear conversion relationship between one measurement unit and another measurement unit, that acts as a reference.",9.8.3.2.33,SysML2,9.8
UnitPowerFactor,単位べき乗因子,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,9.8.3.2.34,SysML2,9.4
UnitPowerFactor,単位べき乗因数,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,UnitPowerFactor is an AttributeDefinition that represents a power factor of a MeasurementUnit and an exponent.,9.8.3.2.34,SysML2,9.8
UnitPrefix,単位接頭辞,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,9.8.3.2.35,SysML2,9.8
UnitPrefix,単位接頭辞,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,UnitPrefix is an AttributeDefinition that represents a named multiple or sub-multiple measurement unit prefix as defined in ISO/IEC 80000-1.,9.8.3.2.35,SysML2,9.4
universalCartesianSpatial3dCoordinateFrame,普遍3次元直交空間座標系,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,9.8.4.2.27,SysML2,9.4
universalCartesianSpatial3dCoordinateFrame,普遍的3次元直交空間座標系,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,A singleton CartesianSpatial3dCoordinateFrame that can be used as a default universal Cartesian 3D coordinate frame.,9.8.4.2.27,SysML2,9.8
universalClock,普遍クロック,universalClock is a single Clock that can be used as a default universal time reference.,universalClock is a single Clock that can be used as a default universal time reference.,9.8.8.2.13,SysML2,9.4
universalClock,普遍的クロック,universalClock is a single Clock that can be used as a default universal time reference.,universalClock is a single Clock that can be used as a default universal time reference.,9.8.8.2.13,SysML2,9.8
unrestricted name,無制限名,An unrestricted name provides a way to represent a name that contains any character. It is represented as a non-empty sequence of characters surrounded by single quotes. The name consists of the characters within the single quotes – the single quotes are not included as part of the represented name.,An unrestricted name provides a way to represent a name that contains any character. '+' 'circuits in line' 'On/Off Switch' 'Ångström',7.2.2,SysML2,7.2-7.3
untilTest,Untilテスト,Successive evaluations of a Boolean-valued Expression that must be false for the loop to continue.,untilTest : BooleanEvaluation [0..*] {redefines untilTest},9.2.10.2.28,SysML2,9.2
US Customary Units,米国慣用単位,"This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].","This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].",9.8.7,SysML2,9.4
US Customary Units,米国慣用単位,"This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].","This package specifies all US Customary measurement units, with conversion factors to compatible SI units, as defined in Appendix B ""Conversion Factors"" of [NIST SP-811].",9.8.7.1,SysML2,9.8
